record_id,doi,year,title,status,local_path,retrieved_at,source_url,discovered_from_url,resolved_url,repository_request_retries_json,source_landing_page_url,source_name,source_type,source_version,source_license,source_metadata_source,source_intended_application,license_metadata_source,bytes,sha256,preserved_prior_variant,page_count,artifact_type,identity_check,title_similarity,attempts_json
doi:10.1021/acssynbio.7b00428,10.1021/acssynbio.7b00428,2018,Modulation of Intracellular O2 Concentration in Escherichia coli Strains Using Oxygen Consuming Devices,downloaded,data/papers/2018/10.1021__acssynbio.7b00428/paper.pdf,2026-09-03T06:05:39+00:00,http://wrap.warwick.ac.uk/104507/1/WRAP-modulation-intracellular-escherichia-oxygen-consuming-.Jaramillo-2018.pdf,,https://wrap.warwick.ac.uk/id/eprint/104507/1/WRAP-modulation-intracellular-escherichia-oxygen-consuming-.Jaramillo-2018.pdf,"[{""initial_content_type"": ""text/html; charset=utf-8"", ""initial_explicit_accept_header"": ""application/pdf"", ""initial_resolved_url"": ""https://wrap.warwick.ac.uk/id/eprint/104507/1/WRAP-modulation-intracellular-escherichia-oxygen-consuming-.Jaramillo-2018.pdf"", ""initial_status_code"": 404, ""reason"": ""status_404"", ""retry_omitted_explicit_accept_header"": true, ""url"": ""http://wrap.warwick.ac.uk/104507/1/WRAP-modulation-intracellular-escherichia-oxygen-consuming-.Jaramillo-2018.pdf""}]",,External full text at wrap.warwick.ac.uk,repository,,,Europe PMC REST API fullTextUrlList (Unpaywall),,,2145734,98d98c11c23529d93f3157b1669f8ba92bfaf8fcf00f0e4452685e16e3f3437c,,47,article_pdf,doi,1.0,[]
doi:10.1021/acssynbio.7b00435,10.1021/acssynbio.7b00435,2018,A Rhamnose-Inducible System for Precise and Temporal Control of Gene Expression in Cyanobacteria,downloaded,data/papers/2018/10.1021__acssynbio.7b00435/paper.pdf,2026-09-03T06:05:35+00:00,http://eprints.whiterose.ac.uk/137056/1/acssynbio.7b00435.pdf,,https://eprints.whiterose.ac.uk/id/eprint/137056/1/acssynbio.7b00435.pdf,"[{""initial_content_type"": ""text/html; charset=utf-8"", ""initial_explicit_accept_header"": ""application/pdf"", ""initial_resolved_url"": ""https://eprints.whiterose.ac.uk/id/eprint/137056/1/acssynbio.7b00435.pdf"", ""initial_status_code"": 404, ""reason"": ""status_404"", ""retry_omitted_explicit_accept_header"": true, ""url"": ""http://eprints.whiterose.ac.uk/137056/1/acssynbio.7b00435.pdf""}]",http://eprints.whiterose.ac.uk/137056/1/acssynbio.7b00435.pdf,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",repository,acceptedVersion,,OpenAlex,,OpenAlex location metadata,1381528,eacb33826b4467c47d83af89292bd1ffb36349d7aca02ecf8668087a1dbb8078,,12,article_pdf,doi,1.0,[]
doi:10.1021/acssynbio.0c00081,10.1021/acssynbio.0c00081,2020,Engineering Isoprenoid Quinone Production in Yeast,downloaded,data/papers/2020/10.1021__acssynbio.0c00081/paper.pdf,2026-09-03T06:05:40+00:00,http://wrap.warwick.ac.uk/140957/13/WRAP-Engineering-isoprenoid-quinone-production-yeast-Kaur-2020.pdf,,https://wrap.warwick.ac.uk/id/eprint/140957/13/WRAP-Engineering-isoprenoid-quinone-production-yeast-Kaur-2020.pdf,"[{""initial_content_type"": ""text/html; charset=utf-8"", ""initial_explicit_accept_header"": ""application/pdf"", ""initial_resolved_url"": ""https://wrap.warwick.ac.uk/id/eprint/140957/13/WRAP-Engineering-isoprenoid-quinone-production-yeast-Kaur-2020.pdf"", ""initial_status_code"": 404, ""reason"": ""status_404"", ""retry_omitted_explicit_accept_header"": true, ""url"": ""http://wrap.warwick.ac.uk/140957/13/WRAP-Engineering-isoprenoid-quinone-production-yeast-Kaur-2020.pdf""}]",http://wrap.warwick.ac.uk/140957/13/WRAP-Engineering-isoprenoid-quinone-production-yeast-Kaur-2020.pdf,Warwick Research Archive Portal (University of Warwick),repository,acceptedVersion,,OpenAlex,,OpenAlex location metadata,1761319,9e87ffa9972dc51149109ec4ac52d7e211ed4622335abaf4c39fdd4fdde9d1ec,,8,article_pdf,title,1.0,[]
doi:10.1021/acssynbio.0c00496,10.1021/acssynbio.0c00496,2021,"Expression of Alternative Nitrogenases in Rhodopseudomonas palustris Is Enhanced Using an Optimized Genetic Toolset for Rapid, Markerless Modifications",downloaded,data/papers/2021/10.1021__acssynbio.0c00496/paper.pdf,2026-09-03T06:05:42+00:00,https://ueaeprints.uea.ac.uk/id/eprint/81419/1/Accepted_Manuscript.pdf,,https://ueaeprints.uea.ac.uk/id/eprint/81419/1/Accepted_Manuscript.pdf,"[{""initial_content_type"": ""text/html; charset=utf-8"", ""initial_explicit_accept_header"": ""application/pdf"", ""initial_resolved_url"": ""https://ueaeprints.uea.ac.uk/id/eprint/81419/1/Accepted_Manuscript.pdf"", ""initial_status_code"": 404, ""reason"": ""status_404"", ""retry_omitted_explicit_accept_header"": true, ""url"": ""https://ueaeprints.uea.ac.uk/id/eprint/81419/1/Accepted_Manuscript.pdf""}]",https://ueaeprints.uea.ac.uk/id/eprint/81419/1/Accepted_Manuscript.pdf,UEA Digital Repository (University of East Anglia),repository,submittedVersion,,OpenAlex,,OpenAlex location metadata,1285320,d13e268f0a028521cb13d8da7f934769692f400841b303ce02d02f282294e085,,31,article_pdf,title,0.992481,[]
doi:10.1021/acssynbio.2c00084,10.1021/acssynbio.2c00084,2022,Automated Leak Analysis of Nucleic Acid Circuits,downloaded,data/papers/2022/10.1021__acssynbio.2c00084/paper.pdf,2026-09-03T06:05:47+00:00,https://wrap.warwick.ac.uk/165612/1/WRAP-automated-leak-analysis-of-nucleic-acid-circuits-Eyriay-2022.pdf,,https://wrap.warwick.ac.uk/id/eprint/165612/1/WRAP-automated-leak-analysis-of-nucleic-acid-circuits-Eyriay-2022.pdf,"[{""initial_content_type"": ""text/html; charset=utf-8"", ""initial_explicit_accept_header"": ""application/pdf"", ""initial_resolved_url"": ""https://wrap.warwick.ac.uk/id/eprint/165612/1/WRAP-automated-leak-analysis-of-nucleic-acid-circuits-Eyriay-2022.pdf"", ""initial_status_code"": 404, ""reason"": ""status_404"", ""retry_omitted_explicit_accept_header"": true, ""url"": ""https://wrap.warwick.ac.uk/165612/1/WRAP-automated-leak-analysis-of-nucleic-acid-circuits-Eyriay-2022.pdf""}]",,External full text at wrap.warwick.ac.uk,repository,,,Europe PMC REST API fullTextUrlList (Unpaywall),,,9687040,d7eadda01e2773ff27d1340d74149e74211e953cdd2360fa4259de8b2759a82f,,21,article_pdf,title,1.0,[]
