record_id,doi,year,title,status,preprint_doi,preprint_title,preprint_version,biorxiv_published_doi,source_url,resolved_url,biorxiv_api_url,biorxiv_api_snapshot_path,local_path,transport_provenance_verification_status,bytes,sha256,page_count,identity_check,title_similarity,error
doi:10.1021/acssynbio.8b00482,10.1021/acssynbio.8b00482,2019,Facilitated Large-Scale Sequence Validation Platform Using Tn5-Tagmented Cell Lysates,already_present,10.1101/367045,TnClone: high-throughput clonal analysis usingTn5-mediated library construction and de novo assembly,1,10.1021/acssynbio.8b00482,https://www.biorxiv.org/content/biorxiv/early/2018/07/11/367045.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2018/07/11/367045.full.pdf,https://api.biorxiv.org/details/biorxiv/10.1101/367045,data/papers/2019/10.1021__acssynbio.8b00482/versions/biorxiv_preprint_v1/biorxiv_api__f20969857a01.json,data/papers/2019/10.1021__acssynbio.8b00482/versions/biorxiv_preprint_v1/paper__23d2b2343d21.pdf,verified_direct_https_response,409795,23d2b2343d21ada30b46164e5b1585d5bf42a54a48d90303af555e79936619a7,10,doi,1.0,
doi:10.1021/acssynbio.9b00275,10.1021/acssynbio.9b00275,2019,Modular Thermal Control of Protein Dimerization,downloaded,10.1101/694448,Modular Thermal Control of Protein Dimerization,1,10.1021/acssynbio.9b00275,https://www.biorxiv.org/content/biorxiv/early/2019/07/13/694448.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2019/07/13/694448.full.pdf,https://api.biorxiv.org/details/biorxiv/10.1101/694448,data/papers/2019/10.1021__acssynbio.9b00275/versions/biorxiv_preprint_v1/biorxiv_api__e003e75741a0.json,data/papers/2019/10.1021__acssynbio.9b00275/versions/biorxiv_preprint_v1/paper__a0076773c71b.pdf,verified_direct_https_response,1241531,a0076773c71bb8001b5d6265d09c792a98c392479b7b67679e682dc7e1392320,7,doi,1.0,
doi:10.1021/acssynbio.0c00283,10.1021/acssynbio.0c00283,2020,Activation of Energy Metabolism through Growth Media Reformulation Enables a 24-Hour Workflow for Cell-Free Expression,already_present,10.1101/729699,Redesigned upstream processing enables a 24 hour workflow from  E. coli cells to cell-free protein synthesis,1,10.1021/acssynbio.0c00283,https://www.biorxiv.org/content/biorxiv/early/2019/08/13/729699.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2019/08/13/729699.full.pdf,https://api.biorxiv.org/details/biorxiv/10.1101/729699,data/papers/2020/10.1021__acssynbio.0c00283/versions/biorxiv_preprint_v1/biorxiv_api__1c021c118d83.json,data/papers/2020/10.1021__acssynbio.0c00283/versions/biorxiv_preprint_v1/paper__4ae7688b749c.pdf,verified_direct_https_response,527411,4ae7688b749cdc98806d08eb6454ab8752b3e7d091a99b62a68be8b6bab4e943,12,doi,1.0,
doi:10.1021/acssynbio.9b00518,10.1021/acssynbio.9b00518,2020,Harnessing Natural Modularity of Metabolism with Goal Attainment Optimization to Design a Modular Chassis Cell for Production of Diverse Chemicals,already_present,10.1101/748350,Harnessing natural modularity of cellular metabolism to design a modular chassis cell for a diverse class of products by using goal attainment optimization,1,10.1021/acssynbio.9b00518,https://www.biorxiv.org/content/biorxiv/early/2019/08/28/748350.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2019/08/28/748350.full.pdf,https://api.biorxiv.org/details/biorxiv/10.1101/748350,data/papers/2020/10.1021__acssynbio.9b00518/versions/biorxiv_preprint_v1/biorxiv_api__a1f578c28ff9.json,data/papers/2020/10.1021__acssynbio.9b00518/versions/biorxiv_preprint_v1/paper__cbb389452890.pdf,verified_direct_https_response,3689899,cbb38945289049781aa87af74d3926b7c4c8591af7e759605d873d1fca5dbdea,42,doi,0.984962,
doi:10.1021/acssynbio.0c00449,10.1021/acssynbio.0c00449,2021,"Engineered Regulon to Enable Autonomous Azide Ion Biosensing, Recombinant Protein Production, and in Vivo Glycoengineering",already_present,10.1101/2020.07.08.193060,Synthetic promoter based azide biosensor toolkit to advance chemical-biology,1,10.1021/acssynbio.0c00449,https://www.biorxiv.org/content/biorxiv/early/2020/07/09/2020.07.08.193060.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2020/07/09/2020.07.08.193060.full.pdf,https://api.biorxiv.org/details/biorxiv/10.1101/2020.07.08.193060,data/papers/2021/10.1021__acssynbio.0c00449/versions/biorxiv_preprint_v1/biorxiv_api__4cf04eba60a9.json,data/papers/2021/10.1021__acssynbio.0c00449/versions/biorxiv_preprint_v1/paper__e23920b38218.pdf,verified_direct_https_response,1012618,e23920b38218f585f079e8fbd5f29e78fc85e523e17e9f804133dc761f8530cb,13,doi,1.0,
doi:10.1021/acssynbio.3c00098,10.1021/acssynbio.3c00098,2023,Host-Dependent Improvement of GFP Expression in Pseudomonas putida KT2440 Using Terminators of Metagenomic Origin,already_present,10.1101/2022.11.22.517491,A termination-aware vector design improves heterologous gene expression in Pseudomonas putida,1,10.1021/acssynbio.3c00098,https://www.biorxiv.org/content/biorxiv/early/2022/11/22/2022.11.22.517491.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2022/11/22/2022.11.22.517491.full.pdf,https://api.biorxiv.org/details/biorxiv/10.1101/2022.11.22.517491,data/papers/2023/10.1021__acssynbio.3c00098/versions/biorxiv_preprint_v1/biorxiv_api__29a8add2477e.json,data/papers/2023/10.1021__acssynbio.3c00098/versions/biorxiv_preprint_v1/paper__fc6124591733.pdf,verified_direct_https_response,167591,fc6124591733796481499293b6236ef5cd4037b3c5aa86824d0c5c4e1dc41ba2,9,doi,1.0,
