year,issue_month,title_source,match_method,title_score,runner_up_margin,matched_doi,matched_title,candidate_volume,candidate_issue,review_status,review_rationale
2018,February,"Engineering 1-Alkene Biosynthesis and Secretion by Dynamic Regulation in YeastYongjin J. Zhou*, Yating Hu",fuzzy_unique,0.871795,0.351564,10.1021/acssynbio.7b00338,Engineering 1-Alkene Biosynthesis and Secretion by Dynamic Regulation in Yeast,7,2,accepted_manual_review,workbook title has author names appended
2018,November,A Highly Bioactive Lys-Deficient IFN Leads to a Site-Specific Di-PEGylated IFN with Equivalent Bioactivity to That of Unmodified IFN-α2b,fuzzy_unique,0.978355,0.516817,10.1021/acssynbio.8b00188,A Highly Bioactive Lys-Deficient IFN Leads to a Site-Specific Di-PEGylated IFN with Equivalent Bioactivity to That of Unmodified IFN-?2b,7,11,accepted_manual_review,source and Crossref titles differ only in alpha-character encoding
2019,May,sessing the Flexibility of the Prochlorosin 2.8 Scaffold for Bioengineering Applications,fuzzy_unique,0.987179,0.501068,10.1021/acssynbio.9b00080,Assessing the Flexibility of the Prochlorosin 2.8 Scaffold for Bioengineering Applications,8,5,accepted_manual_review,workbook title is missing the leading 'As'
2019,September,ynthetic Gene Circuits Enable Escherichia coli To Use Endogenous H2S as a Signaling Molecule for Quorum Sensing,fuzzy_unique,0.994764,0.506392,10.1021/acssynbio.9b00210,Synthetic Gene Circuits Enable Escherichia coli To Use Endogenous H2S as a Signaling Molecule for Quorum Sensing,8,9,accepted_manual_review,workbook title is missing the leading 'S'
